,hosp,hosp,hosp,rea,rea,rea,rad,rad,rad,dc,dc,dc
2022-01-14,24511,12128,12079,3895,2470,1389,481964,241539,236538,99509,56945,41875
2022-01-15,24544,12114,12112,3852,2448,1368,483438,242236,237305,99657,57031,41936
2022-01-16,24887,12291,12270,3852,2444,1370,484007,242471,237633,99755,57084,41980
2022-01-17,25776,12800,12642,3913,2511,1359,485556,243129,238514,100051,57256,42102
2022-01-18,26526,13076,13097,3881,2514,1326,487977,244263,239774,100339,57425,42217
2022-01-19,27230,13387,13479,3852,2499,1314,490192,245310,240921,100570,57552,42318
2022-01-20,27931,13707,13859,3842,2496,1311,492256,246242,242034,100815,57689,42425
2022-01-21,28457,13920,14153,3792,2471,1283,494500,247314,243188,101048,57822,42524
2022-01-22,28515,13967,14117,3746,2452,1259,496206,248101,244096,101215,57902,42610
2022-01-23,28838,14137,14261,3760,2458,1268,496840,248385,244441,101330,57966,42661
2022-01-24,29748,14607,14690,3776,2469,1274,498806,249177,245592,101723,58179,42837
2022-01-25,30189,14803,14928,3741,2445,1260,501762,250456,247231,102086,58391,42983
2022-01-26,30624,14990,15155,3712,2431,1241,504330,251631,248594,102344,58534,43092
2022-01-27,30982,15101,15397,3694,2416,1242,506728,252704,249884,102612,58696,43197
2022-01-28,31271,15163,15604,3656,2368,1252,509211,253847,251205,102875,58853,43302
2022-01-29,31282,15144,15626,3634,2365,1232,510921,254644,252107,103053,58966,43366
2022-01-30,31536,15255,15776,3641,2359,1245,511612,254948,252491,103180,59041,43418
2022-01-31,32374,15749,16129,3700,2418,1249,513540,255772,253561,103528,59249,43551
2022-02-01,32894,15977,16416,3751,2428,1292,516458,257094,255128,103909,59473,43703
2022-02-02,32720,15938,16266,3700,2408,1261,519409,258430,256711,104185,59635,43815
2022-02-03,32852,15968,16365,3643,2386,1224,521380,259357,257722,104449,59781,43929
2022-02-04,32988,16045,16459,3618,2364,1219,524878,260974,259561,104804,59969,44093
2022-02-05,32867,15982,16395,3606,2350,1219,526609,261785,260467,104974,60065,44165
2022-02-06,33027,16102,16433,3577,2331,1210,527202,262042,260802,105103,60135,44221
2022-02-07,33447,16407,16563,3622,2367,1216,529180,262901,261881,105520,60366,44403
2022-02-08,33352,16412,16469,3555,2345,1173,531940,264135,263377,105882,60553,44574
2022-02-09,32878,16151,16268,3503,2315,1151,534705,265480,264761,106137,60697,44679
2022-02-10,32415,15869,16107,3416,2263,1114,537208,266714,265999,106447,60876,44806
2022-02-11,31939,15646,15825,3371,2240,1090,539749,267882,267352,106716,61033,44915
2022-02-12,31522,15407,15638,3324,2212,1068,541311,268631,268155,106877,61125,44982
2022-02-13,31621,15483,15659,3305,2203,1059,541777,268832,268418,106984,61183,45029
2022-02-14,31532,15483,15587,3296,2199,1053,543647,269674,269408,107369,61409,45179
2022-02-15,31091,15259,15360,3235,2157,1035,546183,270849,270745,107670,61574,45312
2022-02-16,30578,15032,15073,3126,2092,992,548385,271901,271882,107913,61708,45416
2022-02-17,29843,14689,14700,3055,2055,958,550715,272967,273115,108171,61852,45527
2022-02-18,29194,14334,14428,2970,2000,933,552837,273960,274212,108444,62012,45637
2022-02-19,28632,14045,14144,2918,1970,907,554200,274599,274927,108592,62098,45696
2022-02-20,28643,14019,14181,2923,1975,906,554598,274808,275115,108671,62139,45734
2022-02-21,28383,13917,14051,2905,1951,912,556126,275486,275923,108954,62301,45851
2022-02-22,27566,13567,13609,2842,1911,889,558452,276555,277149,109240,62467,45966
2022-02-23,26881,13228,13269,2753,1862,853,560486,277508,278208,109452,62597,46047
2022-02-24,26118,12820,12921,2656,1798,824,562358,278434,279137,109649,62710,46129
2022-02-25,25484,12493,12631,2546,1735,779,564082,279267,279999,109837,62816,46211
2022-02-26,25264,12361,12543,2484,1693,759,564911,279686,280398,109928,62874,46243
2022-02-27,25277,12382,12530,2491,1702,757,565221,279840,280553,109980,62901,46268
2022-02-28,25079,12234,12500,2456,1665,760,566378,280410,281108,110212,63039,46359
2022-03-01,24437,11939,12162,2408,1621,758,568119,281225,282020,110412,63155,46438
2022-03-02,23840,11665,11852,2329,1579,722,569768,282011,282862,110577,63245,46511
2022-03-03,23175,11348,11520,2231,1510,694,571248,282728,283609,110744,63339,46581
2022-03-04,22643,11043,11301,2153,1444,682,572604,283390,284291,110898,63424,46648
2022-03-05,22196,10810,11088,2075,1397,652,573476,283821,284725,111006,63477,46700
2022-03-06,22253,10847,11108,2079,1404,649,573639,283890,284818,111038,63492,46717
2022-03-07,22208,10857,11063,2089,1416,647,574749,284383,285422,111211,63582,46794
2022-03-08,21899,10686,10934,2036,1376,634,576142,285035,286145,111376,63680,46860
2022-03-09,21509,10460,10778,1962,1327,613,577508,285714,286817,111511,63758,46917
2022-03-10,21287,10377,10638,1928,1296,611,578723,286271,287466,111611,63823,46952
2022-03-11,21024,10251,10498,1875,1268,586,579930,286833,288103,111744,63898,47010
2022-03-12,20860,10201,10381,1857,1261,574,580578,287126,288453,111795,63925,47034
2022-03-13,20917,10223,10413,1855,1261,572,580769,287218,288550,111824,63945,47043
2022-03-14,20925,10201,10437,1826,1233,573,581897,287735,289146,111984,64039,47109
2022-03-15,20919,10200,10432,1783,1210,553,583270,288376,289868,112128,64114,47178
2022-03-16,20757,10080,10381,1728,1167,543,584548,289009,290504,112273,64196,47241
2022-03-17,20609,10011,10308,1695,1139,537,585730,289557,291123,112379,64258,47285
2022-03-18,20519,9977,10248,1674,1121,534,586852,290106,291691,112480,64317,47326
2022-03-19,20440,9935,10206,1644,1102,525,587475,290406,292010,112534,64347,47350
2022-03-20,20566,9995,10273,1642,1100,524,587639,290486,292092,112561,64365,47359
2022-03-21,20706,10054,10355,1632,1097,519,588719,290977,292668,112713,64452,47421
2022-03-22,20742,10008,10434,1604,1066,521,590037,291617,293336,112843,64527,47476
2022-03-23,20653,9947,10408,1564,1033,516,591389,292278,294011,112934,64572,47520
2022-03-24,20654,9952,10391,1523,1026,482,592602,292858,294637,113046,64630,47574
2022-03-25,20616,9957,10346,1489,998,476,593988,293520,295348,113158,64691,47624
2022-03-26,20532,9917,10306,1481,989,476,594630,293812,295689,113217,64728,47646
2022-03-27,20606,9963,10330,1486,996,474,594814,293896,295789,113242,64742,47657
2022-03-28,21073,10184,10575,1533,1021,497,595854,294406,296313,113391,64816,47731
2022-03-29,21300,10338,10650,1538,1039,486,597352,295080,297127,113527,64890,47790
2022-03-30,21688,10560,10819,1546,1053,482,598673,295678,297831,113659,64950,47861
2022-03-31,21922,10637,10979,1551,1042,497,600034,296353,298501,113779,65018,47913
2022-04-01,22066,10669,11085,1537,1018,505,601418,297034,299198,113904,65094,47962
2022-04-02,22113,10624,11170,1523,994,515,602269,297490,299585,113961,65132,47981
2022-04-03,22251,10698,11230,1539,1006,520,602444,297562,299686,113985,65142,47995
2022-04-04,22835,10992,11519,1541,1021,507,603702,298156,300339,114131,65221,48061
2022-04-05,23010,11093,11583,1552,1019,519,605372,298950,301202,114258,65293,48116
2022-04-06,23014,11086,11626,1561,1028,519,607194,299800,302126,114374,65354,48171
2022-04-07,23272,11174,11798,1572,1027,531,608546,300454,302809,114469,65404,48216
2022-04-08,23404,11212,11892,1554,1031,512,610159,301229,303632,114593,65479,48265
2022-04-09,23474,11219,11953,1543,1018,514,611100,301666,304127,114667,65522,48296
2022-04-10,23626,11286,12036,1562,1031,520,611319,301779,304233,114695,65540,48306
2022-04-11,24205,11649,12239,1589,1050,525,612633,302367,304952,114871,65620,48400
2022-04-12,24693,11898,12483,1644,1073,558,614551,303254,305960,115027,65706,48468
2022-04-13,24778,11925,12520,1650,1082,552,616385,304142,306890,115161,65784,48522
2022-04-14,24828,11998,12497,1648,1075,560,618020,304909,307743,115284,65849,48578
2022-04-15,24909,12015,12548,1652,1089,547,619696,305729,308587,115427,65929,48641
2022-04-16,24894,11971,12577,1630,1075,539,620535,306158,308986,115472,65955,48660
2022-04-17,24922,11994,12582,1636,1076,543,620786,306275,309118,115501,65975,48669
2022-04-18,24990,12022,12618,1635,1076,541,621002,306387,309221,115545,65999,48689
2022-04-19,25277,12157,12767,1681,1099,565,622698,307184,310107,115726,66109,48759
2022-04-20,25179,12168,12657,1677,1103,556,625022,308271,311323,115947,66229,48859
2022-04-21,25018,12095,12570,1684,1114,552,626816,309125,312248,116114,66320,48933
2022-04-22,24883,11968,12563,1645,1079,549,628608,310009,313130,116253,66393,48999
2022-04-23,24840,11930,12564,1636,1073,548,629485,310447,313560,116312,66429,49021
2022-04-24,24888,11947,12596,1640,1084,542,629768,310584,313701,116345,66447,49036
2022-04-25,24980,12007,12638,1659,1107,540,631303,311294,314499,116541,66556,49119
2022-04-26,24703,11943,12433,1667,1108,545,633262,312194,315538,116708,66651,49189
2022-04-27,24431,11809,12276,1658,1096,547,634936,312968,316422,116854,66739,49245
2022-04-28,24130,11656,12137,1629,1085,529,636491,313685,317232,116970,66804,49296
2022-04-29,23579,11351,11903,1591,1048,530,638182,314506,318080,117119,66890,49357
2022-04-30,23302,11233,11743,1562,1030,519,638905,314853,318453,117171,66915,49384
2022-05-01,23327,11254,11748,1557,1026,518,639061,314931,318529,117193,66929,49392
2022-05-02,23211,11231,11655,1511,992,508,640425,315539,319263,117371,67033,49464
2022-05-03,22849,11024,11505,1498,976,511,642084,316367,320072,117491,67095,49520
2022-05-04,22319,10792,11219,1465,964,491,643460,317014,320779,117593,67150,49566
2022-05-05,21880,10581,10994,1447,944,494,644866,317686,321499,117708,67220,49610
2022-05-06,21277,10302,10680,1408,927,473,645611,318016,321909,117810,67280,49652
2022-05-07,20963,10144,10529,1397,916,473,647071,318753,322610,117869,67312,49676
2022-05-08,20939,10130,10517,1403,919,476,647235,318831,322696,117912,67341,49690
2022-05-09,20835,10098,10459,1380,900,473,648234,319272,323243,118044,67416,49743
2022-05-10,20499,9952,10276,1364,894,463,649583,319907,323945,118166,67478,49802
2022-05-11,20152,9736,10143,1329,873,449,650824,320517,324560,118253,67533,49834
2022-05-12,19762,9509,9975,1292,854,431,651942,321084,325106,118337,67574,49877
2022-05-13,19272,9264,9728,1233,815,411,653050,321631,325658,118431,67631,49913
2022-05-14,18901,9104,9519,1213,806,400,653734,321944,326022,118494,67670,49937
2022-05-15,18935,9112,9543,1214,805,402,653827,321988,326070,118508,67679,49942
2022-05-16,18742,9057,9412,1199,792,398,654775,322420,326572,118633,67749,49997
2022-05-17,18290,8828,9187,1173,773,391,655984,322998,327194,118723,67798,50038
2022-05-18,17883,8658,8955,1149,762,379,656962,323458,327699,118801,67843,50070
2022-05-19,17531,8488,8781,1115,728,378,657817,323853,328149,118864,67875,50101
2022-05-20,17141,8298,8588,1095,715,373,658712,324269,328617,118926,67909,50128
2022-05-21,16935,8186,8500,1085,708,370,659150,324488,328830,118968,67936,50142
2022-05-22,16941,8192,8500,1081,706,368,659216,324519,328865,118976,67941,50145
2022-05-23,16785,8119,8427,1074,694,372,659896,324853,329206,119058,67995,50172
2022-05-24,16510,7970,8303,1072,689,373,660731,325276,329609,119146,68048,50207
2022-05-25,16133,7789,8106,1043,665,368,661637,325706,330080,119193,68072,50229
2022-05-26,16015,7721,8058,1033,660,365,661995,325895,330246,119220,68087,50240
2022-05-27,15811,7607,7971,1024,649,367,662562,326201,330502,119264,68108,50262
2022-05-28,15652,7520,7898,1022,646,367,662858,326348,330651,119287,68120,50273
2022-05-29,15646,7521,7891,1014,638,367,662919,326374,330686,119300,68127,50279
2022-05-30,15488,7449,7810,992,628,356,663595,326689,331038,119385,68170,50321
2022-05-31,15118,7224,7673,952,602,344,664493,327153,331458,119461,68207,50358
2022-06-01,14850,7081,7550,929,588,334,665161,327483,331789,119517,68240,50378
2022-06-02,14640,6982,7441,926,586,333,665774,327790,332092,119558,68264,50395
2022-06-03,14419,6878,7321,917,586,324,666336,328064,332375,119593,68278,50416
2022-06-04,14274,6820,7238,917,588,322,666645,328198,332545,119624,68289,50435
2022-06-05,14285,6821,7248,914,585,322,666701,328231,332568,119631,68293,50438
2022-06-06,14302,6820,7266,907,582,318,666752,328262,332587,119640,68298,50442
2022-06-07,14275,6803,7258,895,582,306,667403,328578,332914,119714,68334,50477
2022-06-08,14189,6778,7193,895,577,308,668154,328923,333309,119791,68374,50513
2022-06-09,14158,6746,7191,876,558,308,668738,329205,333605,119830,68401,50525
2022-06-10,14028,6669,7142,869,549,310,669322,329494,333892,119868,68418,50546
2022-06-11,14061,6706,7139,875,558,308,669586,329609,334036,119886,68424,50558
2022-06-12,14080,6718,7146,871,556,306,669640,329630,334068,119891,68427,50560
2022-06-13,14125,6753,7157,865,534,323,670179,329885,334347,119958,68465,50589
2022-06-14,14072,6730,7120,854,535,311,670836,330211,334674,120015,68494,50617
2022-06-15,13910,6652,7027,847,533,305,671515,330541,335020,120062,68521,50637
2022-06-16,13914,6630,7049,846,534,302,672039,330797,335284,120110,68546,50660
2022-06-17,13895,6635,7021,845,538,297,672657,331086,335603,120153,68572,50677
2022-06-18,13876,6612,7026,829,533,286,672950,331225,335756,120170,68580,50685
2022-06-19,13932,6655,7036,830,531,289,673006,331245,335792,120172,68582,50685
2022-06-20,14190,6805,7146,849,541,298,673591,331530,336088,120217,68612,50699
2022-06-21,14334,6860,7233,841,534,299,674196,331821,336399,120273,68648,50717
2022-06-22,14412,6901,7278,845,534,303,675052,332212,336854,120337,68688,50741
2022-06-23,14499,6909,7361,841,513,320,675753,332562,337195,120377,68707,50762
2022-06-24,14550,6933,7392,830,501,322,676538,332940,337594,120426,68737,50782
2022-06-25,14566,6925,7416,818,492,318,676942,333126,337806,120448,68750,50791
2022-06-26,14636,6957,7455,822,497,317,677016,333170,337835,120457,68757,50793
2022-06-27,15099,7165,7703,880,533,338,677721,333511,338194,120504,68784,50813
2022-06-28,15496,7363,7894,898,552,337,678541,333894,338629,120541,68803,50831
2022-06-29,15690,7462,7993,914,561,344,679400,334289,339083,120588,68831,50850
2022-06-30,15836,7512,8080,931,577,345,680223,334705,339480,120630,68853,50868
2022-07-01,16108,7656,8211,960,589,362,681096,335132,339912,120681,68882,50890
2022-07-02,16220,7679,8297,951,588,354,681582,335377,340148,120711,68902,50899
2022-07-03,16278,7693,8334,953,585,359,681724,335449,340216,120724,68910,50904
2022-07-04,16638,7906,8483,978,594,376,682827,335980,340779,120821,68956,50951
2022-07-05,17041,8056,8721,1004,607,389,684148,336634,341435,120896,68999,50983
2022-07-06,17496,8344,8882,1027,643,375,685220,337118,342008,120942,69027,51001
2022-07-07,17719,8425,9020,1035,648,381,686409,337680,342623,121028,69087,51024
2022-07-08,17944,8522,9120,1027,644,376,687688,338280,343289,121102,69121,51064
2022-07-09,17936,8543,9079,1040,659,374,688421,338623,343666,121136,69140,51079
2022-07-10,17999,8586,9098,1045,664,374,688597,338700,343762,121151,69146,51088
2022-07-11,18605,8885,9402,1107,707,392,689642,339179,344316,121259,69204,51138
2022-07-12,19160,9151,9680,1158,734,416,691295,339960,345179,121382,69271,51194
2022-07-13,19580,9360,9879,1184,746,430,692740,340657,345912,121486,69325,51242
2022-07-14,19647,9367,9926,1178,743,428,693535,341053,346304,121535,69357,51259
2022-07-15,19935,9482,10104,1204,758,439,694489,341508,346795,121638,69412,51306
2022-07-16,20023,9482,10174,1217,761,449,695249,341890,347165,121697,69452,51325
2022-07-17,20137,9541,10230,1225,766,452,695383,341950,347238,121714,69462,51332
2022-07-18,20530,9730,10436,1271,784,480,696822,342636,347981,121888,69563,51404
2022-07-19,20896,9906,10619,1323,808,507,698590,343481,348881,122032,69631,51478
2022-07-20,21010,9962,10660,1299,800,490,700056,344183,349634,122140,69695,51522
2022-07-21,20877,9904,10586,1305,810,485,701655,344930,350470,122268,69758,51587
2022-07-22,20769,9842,10544,1304,804,490,703194,345671,351246,122372,69825,51622
2022-07-23,20730,9843,10513,1279,800,470,703888,345962,351635,122419,69846,51645
2022-07-24,20782,9862,10544,1272,797,466,704039,346037,351711,122438,69858,51651
2022-07-25,21038,9978,10690,1285,821,454,705292,346639,352342,122568,69930,51708
2022-07-26,20924,9917,10649,1317,843,464,707049,347507,353197,122687,70007,51748
2022-07-27,20662,9796,10501,1253,799,445,708623,348234,354030,122782,70058,51792
2022-07-28,20486,9699,10419,1208,768,431,709895,348805,354706,122886,70115,51837
2022-07-29,20214,9546,10309,1195,768,418,711128,349418,355316,122968,70153,51876
2022-07-30,20068,9456,10247,1194,764,421,711849,349788,355666,123020,70182,51898
2022-07-31,20098,9458,10273,1195,760,426,711968,349855,355718,123036,70190,51906
2022-08-01,20063,9460,10237,1205,765,431,713025,350334,356287,123157,70252,51965
2022-08-02,19792,9361,10077,1180,745,425,714464,351011,357028,123258,70310,52005
2022-08-03,19389,9202,9838,1151,725,415,715761,351615,357703,123341,70362,52036
2022-08-04,19154,9080,9717,1151,729,411,716889,352157,358282,123426,70412,52071
2022-08-05,18803,8874,9580,1142,729,401,717990,352718,358810,123503,70448,52109
2022-08-06,18669,8793,9526,1146,733,401,718518,352986,359067,123538,70473,52119
2022-08-07,18693,8803,9539,1147,731,404,718590,353030,359095,123548,70478,52124
2022-08-08,18648,8766,9546,1121,722,387,719501,353475,359543,123657,70541,52170
2022-08-09,18171,8538,9304,1092,704,377,720869,354132,360242,123768,70601,52221
2022-08-10,17729,8370,9041,1057,677,371,722035,354646,360875,123848,70644,52257
2022-08-11,17524,8294,8912,1047,671,367,722945,355054,361366,123928,70687,52294
2022-08-12,17268,8171,8778,1037,665,364,723824,355480,361814,123997,70725,52325
2022-08-13,17083,8068,8698,1009,645,355,724251,355702,362015,124033,70740,52346
2022-08-14,17106,8075,8715,1012,648,355,724302,355729,362038,124051,70752,52352
2022-08-15,17138,8090,8730,1015,649,357,724377,355765,362077,124058,70755,52356
2022-08-16,17011,8034,8659,1009,651,349,725328,356200,362582,124171,70822,52401
2022-08-17,16838,7967,8564,1001,637,356,726350,356674,363113,124263,70870,52444
2022-08-18,16427,7807,8324,981,619,354,727375,357125,363671,124352,70917,52486
2022-08-19,16122,7639,8185,961,606,346,728261,357557,364119,124424,70962,52513
2022-08-20,15949,7543,8111,952,602,341,728707,357776,364341,124461,70986,52526
2022-08-21,15965,7547,8123,944,596,339,728752,357800,364362,124464,70989,52526
2022-08-22,15950,7553,8098,919,584,327,729371,358079,364696,124527,71022,52555
2022-08-23,15680,7417,7971,871,547,318,730209,358474,365128,124615,71070,52594
2022-08-24,15551,7364,7902,853,541,306,730866,358785,365464,124667,71100,52616
2022-08-25,15412,7268,7864,855,538,312,731479,359073,365783,124710,71130,52628
2022-08-26,15234,7171,7785,845,532,308,732094,359368,366099,124760,71155,52652
2022-08-27,15108,7115,7714,836,524,306,732353,359487,366240,124779,71169,52657
2022-08-28,15137,7139,7719,841,527,308,732406,359506,366273,124786,71173,52660
2022-08-29,14929,7021,7635,848,535,307,733015,359813,366570,124864,71219,52691
2022-08-30,14694,6933,7525,854,536,312,733782,360173,366937,124936,71263,52717
2022-08-31,14485,6824,7426,838,527,306,734398,360466,367258,124986,71289,52740
2022-09-01,14391,6764,7392,814,509,300,734906,360710,367520,125024,71313,52754
2022-09-02,14157,6647,7275,799,496,297,735515,361001,367838,125079,71348,52774
2022-09-03,14010,6575,7202,792,491,295,735764,361110,367975,125091,71350,52784
2022-09-04,14015,6577,7205,793,490,297,735803,361125,367997,125094,71352,52785
2022-09-05,13953,6584,7134,785,501,279,736361,361367,368309,125161,71382,52822
2022-09-06,13799,6496,7069,781,505,271,737006,361682,368633,125221,71418,52846
2022-09-07,13663,6445,6992,792,506,282,737549,361932,368915,125262,71441,52863
2022-09-08,13425,6301,6901,770,494,271,738139,362231,369200,125318,71475,52884
2022-09-09,13286,6231,6831,742,479,258,738594,362457,369428,125349,71492,52898
2022-09-10,13234,6213,6802,745,481,259,738779,362535,369532,125363,71500,52904
2022-09-11,13233,6214,6800,741,478,258,738817,362556,369549,125367,71500,52908
2022-09-12,13183,6155,6806,725,472,248,739327,362822,369791,125407,71524,52924
2022-09-13,13065,6095,6751,727,477,245,739940,363123,370085,125456,71555,52940
2022-09-14,12971,6046,6711,730,474,251,740417,363341,370336,125488,71577,52950
2022-09-15,12996,6037,6745,737,480,252,740818,363532,370544,125520,71596,52962
2022-09-16,12937,6030,6689,728,476,246,741271,363729,370794,125546,71615,52969
2022-09-17,12941,6026,6696,728,480,243,741449,363815,370884,125555,71618,52974
2022-09-18,12940,6025,6697,725,478,242,741494,363835,370909,125556,71618,52975
2022-09-19,12952,6037,6697,703,464,233,742051,364086,371209,125614,71653,52998
2022-09-20,12896,6020,6663,704,464,233,742644,364373,371507,125662,71679,53020
2022-09-21,12857,5999,6642,699,468,225,743123,364605,371750,125694,71698,53033
2022-09-22,12908,6022,6672,707,471,231,743567,364814,371981,125723,71716,53041
2022-09-23,12961,6071,6677,700,468,227,744017,365027,372214,125756,71739,53050
2022-09-24,12939,6055,6673,713,476,232,744250,365138,372334,125769,71750,53052
2022-09-25,12977,6079,6685,710,476,229,744285,365154,372353,125772,71751,53054
2022-09-26,13354,6231,6904,733,490,238,744739,365379,372579,125823,71779,53077
2022-09-27,13768,6433,7113,761,510,245,745299,365656,372853,125863,71797,53099
2022-09-28,14014,6548,7238,784,522,256,745892,365945,373155,125900,71819,53113
2022-09-29,14259,6632,7396,789,516,267,746450,366237,373418,125932,71838,53126
2022-09-30,14554,6762,7557,810,521,283,746963,366479,373683,125961,71859,53134
2022-10-01,14651,6810,7603,823,528,288,747246,366611,373833,125978,71869,53141
2022-10-02,14705,6835,7630,823,527,289,747298,366640,373856,125982,71870,53144
2022-10-03,15166,7117,7804,843,536,300,747943,366930,374208,126044,71902,53173
2022-10-04,15535,7334,7949,848,536,303,748830,367312,374708,126118,71952,53196
2022-10-05,15954,7543,8142,861,547,306,749577,367674,375087,126159,71977,53211
2022-10-06,16428,7744,8411,907,579,321,750275,368039,375413,126204,72005,53228
2022-10-07,16788,7918,8594,882,569,307,751071,368426,375816,126256,72032,53250
2022-10-08,16865,7943,8640,887,575,306,751438,368600,376005,126281,72047,53260
2022-10-09,16929,7964,8677,889,578,305,751526,368648,376045,126287,72050,53263
2022-10-10,17406,8217,8895,927,601,319,752340,369010,376490,126366,72097,53295
2022-10-11,17907,8390,9212,944,597,339,753470,369563,377062,126438,72134,53330
2022-10-12,18187,8525,9347,941,601,332,754353,369986,377513,126493,72169,53349
2022-10-13,18590,8685,9581,959,610,342,755236,370427,377946,126552,72202,53375
2022-10-14,18792,8748,9717,972,616,348,756226,370923,378433,126628,72247,53404
2022-10-15,18950,8814,9801,979,620,350,756677,371129,378675,126657,72262,53418
2022-10-16,19032,8847,9847,988,626,353,756764,371174,378716,126670,72270,53423
2022-10-17,19493,9088,10058,1065,670,384,757710,371630,379201,126782,72334,53471
2022-10-18,19948,9323,10269,1069,678,379,758901,372212,379799,126881,72392,53511
2022-10-19,20072,9363,10363,1046,658,377,760185,372834,380437,126979,72455,53546
2022-10-20,20110,9388,10385,1039,657,373,761342,373378,381038,127041,72483,53580
2022-10-21,20165,9367,10462,1039,652,379,762416,373897,381581,127122,72536,53607
2022-10-22,20082,9327,10425,1042,658,376,762922,374163,381810,127154,72550,53624
2022-10-23,20158,9375,10452,1037,659,370,763008,374199,381856,127171,72558,53633
2022-10-24,20194,9367,10489,1059,670,380,764040,374693,382387,127293,72630,53681
2022-10-25,19965,9241,10382,1041,658,373,765597,375431,383185,127424,72705,53734
2022-10-26,20014,9261,10420,1052,660,384,766611,375904,383712,127483,72750,53748
2022-10-27,19959,9258,10373,1057,661,387,767589,376372,384206,127549,72793,53771
2022-10-28,19682,9159,10207,1040,651,379,768764,376920,384818,127608,72822,53801
2022-10-29,19465,9044,10115,1027,640,378,769394,377219,385143,127647,72844,53818
2022-10-30,19497,9066,10127,1024,642,373,769477,377252,385192,127656,72847,53823
2022-10-31,19462,9039,10118,1044,645,390,770293,377656,385597,127767,72920,53861
2022-11-01,19383,8980,10098,1070,666,395,770795,377910,385841,127818,72948,53884
2022-11-02,19263,8925,10043,1065,670,386,771749,378363,386331,127908,72999,53922
2022-11-03,18972,8756,9924,1055,669,378,772865,378928,386875,127963,73030,53946
2022-11-04,18794,8663,9839,1029,656,365,773725,379355,387304,128037,73076,53974
2022-11-05,18596,8608,9717,1019,656,355,774215,379551,387570,128069,73094,53988
2022-11-06,18592,8601,9721,1022,656,358,774315,379601,387619,128074,73098,53989
2022-11-07,18500,8522,9707,1015,645,362,775191,380031,388061,128183,73162,54033
2022-11-08,18217,8373,9580,977,620,347,776334,380576,388636,128300,73231,54079
2022-11-09,18110,8322,9526,970,617,344,777224,381016,389076,128369,73266,54113
2022-11-10,18018,8285,9465,962,617,337,778044,381401,389506,128420,73296,54133
2022-11-11,17947,8249,9433,948,613,327,778450,381596,389713,128447,73309,54146
2022-11-12,17970,8253,9446,951,614,329,778544,381640,389761,128457,73313,54152
2022-11-13,18015,8278,9464,957,616,333,778594,381661,389790,128458,73314,54152
2022-11-14,18098,8283,9542,972,613,350,779427,382074,390196,128558,73378,54186
2022-11-15,18038,8265,9490,970,610,350,780424,382554,390707,128667,73433,54235
2022-11-16,18115,8340,9489,983,629,344,781302,382974,391156,128737,73469,54269
2022-11-17,17965,8268,9419,962,614,340,782241,383422,391636,128812,73511,54302
2022-11-18,17936,8260,9403,962,613,340,783101,383830,392075,128881,73552,54329
2022-11-19,17848,8212,9364,960,613,338,783545,384035,392308,128907,73565,54342
2022-11-20,17927,8256,9399,969,618,343,783630,384073,392355,128909,73567,54342
2022-11-21,18135,8323,9539,978,624,345,784409,384458,392743,129003,73622,54380
2022-11-22,18186,8330,9570,971,618,345,785428,384948,393263,129092,73681,54410
2022-11-23,18351,8456,9617,989,640,341,786274,385344,393698,129167,73719,54446
2022-11-24,18331,8463,9589,986,629,348,787100,385719,394141,129223,73748,54472
2022-11-25,18384,8472,9619,1010,641,359,787918,386124,394554,129285,73784,54498
2022-11-26,18352,8451,9611,1010,638,362,788364,386332,394788,129314,73799,54512
2022-11-27,18385,8466,9629,1007,633,364,788466,386374,394847,129322,73804,54515
2022-11-28,18782,8664,9836,1065,678,378,789344,386782,395304,129417,73858,54556
2022-11-29,19061,8792,9993,1076,694,373,790438,387322,395844,129505,73904,54597
2022-11-30,19497,8989,10227,1112,719,385,791337,387767,396288,129596,73953,54637
2022-12-01,19669,9066,10325,1089,707,375,792382,388283,396811,129672,73994,54672
2022-12-02,19865,9185,10392,1113,715,391,793251,388677,397280,129739,74032,54701
2022-12-03,19771,9145,10333,1093,696,390,793852,388975,397581,129777,74053,54718
2022-12-04,19863,9200,10366,1091,697,387,793973,389025,397648,129787,74057,54724
2022-12-05,20393,9456,10629,1114,711,395,794773,389407,398049,129891,74114,54770
2022-12-06,20614,9563,10736,1120,730,382,796202,390053,398810,130008,74183,54818
2022-12-07,21098,9791,10984,1145,747,387,797326,390582,399396,130101,74235,54859
2022-12-08,21619,10002,11288,1201,772,417,798454,391134,399962,130158,74271,54880
2022-12-09,21874,10168,11378,1182,767,404,799643,391684,400591,130242,74310,54925
2022-12-10,22061,10237,11492,1187,773,405,800266,392012,400881,130296,74346,54942
2022-12-11,22133,10274,11520,1191,775,406,800377,392062,400941,130316,74359,54948
2022-12-12,22703,10578,11774,1235,794,430,801504,392576,401538,130482,74460,55013
2022-12-13,23217,10804,12060,1287,818,458,802940,393287,402251,130617,74545,55059
2022-12-14,23742,11008,12346,1341,845,483,804327,393946,402958,130721,74607,55100
2022-12-15,24125,11112,12620,1374,871,490,805614,394573,403601,130819,74667,55137
2022-12-16,24173,11119,12665,1393,889,491,807064,395268,404328,130944,74743,55183
2022-12-17,24256,11121,12743,1384,883,488,807811,395634,404698,130987,74769,55200
2022-12-18,24357,11182,12779,1383,887,483,807968,395709,404777,131011,74780,55212
